2024/08/26 03:15:54 PM > ep 55 done. total_steps=4589 | reward=2 | episode_steps=102 | hours=0.020 | epsilon=0.816
2024/08/26 03:15:55 PM > ep 56 done. total_steps=4701 | reward=12 | episode_steps=112 | hours=0.020 | epsilon=0.812
2024/08/26 03:15:57 PM > ep 57 done. total_steps=4785 | reward=-16 | episode_steps=84 | hours=0.021 | epsilon=0.809
2024/08/26 03:15:58 PM > ep 58 done. total_steps=4875 | reward=-10 | episode_steps=90 | hours=0.021 | epsilon=0.805
2024/08/26 03:16:00 PM > ep 59 done. total_steps=4991 | reward=16 | episode_steps=116 | hours=0.022 | epsilon=0.801
2024/08/26 03:16:01 PM > ep 60 done. total_steps=5084 | reward=-7 | episode_steps=93 | hours=0.022 | epsilon=0.798
2024/08/26 03:16:03 PM > ep 61 done. total_steps=5209 | reward=25 | episode_steps=125 | hours=0.023 | epsilon=0.794
2024/08/26 03:16:05 PM > ep 62 done. total_steps=5297 | reward=-12 | episode_steps=88 | hours=0.023 | epsilon=0.791
2024/08/26 03:16:06 PM > ep 63 done. total_steps=5401 | reward=4 | episode_steps=104 | hours=0.024 | epsilon=0.787
2024/08/26 03:16:08 PM > ep 64 done. total_steps=5491 | reward=-10 | episode_steps=90 | hours=0.024 | epsilon=0.784
2024/08/26 03:16:09 PM > ep 65 done. total_steps=5581 | reward=-10 | episode_steps=90 | hours=0.024 | epsilon=0.781
2024/08/26 03:16:11 PM > ep 66 done. total_steps=5681 | reward=0 | episode_steps=100 | hours=0.025 | epsilon=0.777
2024/08/26 03:16:12 PM > ep 67 done. total_steps=5753 | reward=-28 | episode_steps=72 | hours=0.025 | epsilon=0.775
2024/08/26 03:16:14 PM > ep 68 done. total_steps=5864 | reward=11 | episode_steps=111 | hours=0.026 | epsilon=0.771
2024/08/26 03:16:16 PM > ep 69 done. total_steps=6001 | reward=37 | episode_steps=137 | hours=0.026 | epsilon=0.767
2024/08/26 03:16:17 PM > ep 70 done. total_steps=6104 | reward=3 | episode_steps=103 | hours=0.027 | epsilon=0.763
2024/08/26 03:16:18 PM > ep 71 done. total_steps=6155 | reward=-49 | episode_steps=51 | hours=0.027 | epsilon=0.762
2024/08/26 03:16:19 PM > ep 72 done. total_steps=6218 | reward=-37 | episode_steps=63 | hours=0.027 | epsilon=0.760
2024/08/26 03:16:20 PM > ep 73 done. total_steps=6308 | reward=-10 | episode_steps=90 | hours=0.027 | epsilon=0.757
2024/08/26 03:16:22 PM > ep 74 done. total_steps=6419 | reward=11 | episode_steps=111 | hours=0.028 | epsilon=0.753
2024/08/26 03:16:23 PM > ep 75 done. total_steps=6473 | reward=-46 | episode_steps=54 | hours=0.028 | epsilon=0.751
2024/08/26 03:16:25 PM > ep 76 done. total_steps=6571 | reward=-2 | episode_steps=98 | hours=0.029 | epsilon=0.748
2024/08/26 03:16:26 PM > ep 77 done. total_steps=6677 | reward=6 | episode_steps=106 | hours=0.029 | epsilon=0.745
2024/08/26 03:16:28 PM > ep 78 done. total_steps=6796 | reward=19 | episode_steps=119 | hours=0.030 | epsilon=0.741
2024/08/26 03:16:30 PM > ep 79 done. total_steps=6909 | reward=13 | episode_steps=113 | hours=0.030 | epsilon=0.737
2024/08/26 03:16:31 PM > ep 80 done. total_steps=7019 | reward=10 | episode_steps=110 | hours=0.031 | epsilon=0.734
2024/08/26 03:16:33 PM > ep 81 done. total_steps=7122 | reward=3 | episode_steps=103 | hours=0.031 | epsilon=0.730
2024/08/26 03:16:35 PM > ep 82 done. total_steps=7236 | reward=14 | episode_steps=114 | hours=0.031 | epsilon=0.727
2024/08/26 03:16:36 PM > ep 83 done. total_steps=7332 | reward=-4 | episode_steps=96 | hours=0.032 | epsilon=0.724
2024/08/26 03:16:38 PM > ep 84 done. total_steps=7461 | reward=29 | episode_steps=129 | hours=0.032 | epsilon=0.720
2024/08/26 03:16:39 PM > ep 85 done. total_steps=7525 | reward=-36 | episode_steps=64 | hours=0.033 | epsilon=0.718
2024/08/26 03:16:41 PM > ep 86 done. total_steps=7646 | reward=21 | episode_steps=121 | hours=0.033 | epsilon=0.714
2024/08/26 03:16:43 PM > ep 87 done. total_steps=7733 | reward=-13 | episode_steps=87 | hours=0.034 | epsilon=0.711
2024/08/26 03:16:44 PM > ep 88 done. total_steps=7828 | reward=-5 | episode_steps=95 | hours=0.034 | epsilon=0.709
2024/08/26 03:16:46 PM > ep 89 done. total_steps=7940 | reward=12 | episode_steps=112 | hours=0.034 | epsilon=0.705
2024/08/26 03:16:47 PM > ep 90 done. total_steps=8030 | reward=-10 | episode_steps=90 | hours=0.035 | epsilon=0.702
2024/08/26 03:16:48 PM > ep 91 done. total_steps=8066 | reward=-64 | episode_steps=36 | hours=0.035 | epsilon=0.701
2024/08/26 03:16:49 PM > ep 92 done. total_steps=8134 | reward=-32 | episode_steps=68 | hours=0.035 | epsilon=0.699
2024/08/26 03:16:50 PM > ep 93 done. total_steps=8243 | reward=9 | episode_steps=109 | hours=0.036 | epsilon=0.696
2024/08/26 03:16:52 PM > ep 94 done. total_steps=8324 | reward=-19 | episode_steps=81 | hours=0.036 | epsilon=0.694
2024/08/26 03:16:53 PM > ep 95 done. total_steps=8393 | reward=-31 | episode_steps=69 | hours=0.036 | epsilon=0.692
2024/08/26 03:16:55 PM > ep 96 done. total_steps=8513 | reward=20 | episode_steps=120 | hours=0.037 | epsilon=0.688
2024/08/26 03:16:56 PM > ep 97 done. total_steps=8603 | reward=-10 | episode_steps=90 | hours=0.037 | epsilon=0.685
2024/08/26 03:16:58 PM > ep 98 done. total_steps=8738 | reward=35 | episode_steps=135 | hours=0.038 | epsilon=0.681
2024/08/26 03:16:59 PM > ep 99 done. total_steps=8805 | reward=-33 | episode_steps=67 | hours=0.038 | epsilon=0.680
2024/08/26 03:17:01 PM > ep 100 done. total_steps=8893 | reward=-12 | episode_steps=88 | hours=0.039 | epsilon=0.677
2024/08/26 03:17:02 PM > ep 101 done. total_steps=8998 | reward=5 | episode_steps=105 | hours=0.039 | epsilon=0.674
2024/08/26 03:17:04 PM > ep 102 done. total_steps=9108 | reward=10 | episode_steps=110 | hours=0.040 | epsilon=0.671
2024/08/26 03:17:06 PM > ep 103 done. total_steps=9213 | reward=5 | episode_steps=105 | hours=0.040 | epsilon=0.668
2024/08/26 03:17:06 PM > ep 104 done. total_steps=9265 | reward=-48 | episode_steps=52 | hours=0.040 | epsilon=0.666
2024/08/26 03:17:08 PM > ep 105 done. total_steps=9356 | reward=-9 | episode_steps=91 | hours=0.041 | epsilon=0.664
2024/08/26 03:17:09 PM > ep 106 done. total_steps=9452 | reward=-4 | episode_steps=96 | hours=0.041 | epsilon=0.661
2024/08/26 03:17:11 PM > ep 107 done. total_steps=9556 | reward=4 | episode_steps=104 | hours=0.041 | epsilon=0.658
2024/08/26 03:17:12 PM > ep 108 done. total_steps=9614 | reward=-42 | episode_steps=58 | hours=0.042 | epsilon=0.657
2024/08/26 03:17:14 PM > ep 109 done. total_steps=9735 | reward=21 | episode_steps=121 | hours=0.042 | epsilon=0.653
2024/08/26 03:17:15 PM > ep 110 done. total_steps=9836 | reward=1 | episode_steps=101 | hours=0.043 | epsilon=0.650
2024/08/26 03:17:17 PM > ep 111 done. total_steps=9954 | reward=18 | episode_steps=118 | hours=0.043 | epsilon=0.647
