2024/08/24 04:25:12 PM > ep 116 done. total_steps=9885 | reward=-19 | episode_steps=82 | hours=0.024 | epsilon=0.649
2024/08/24 04:25:12 PM > ep 117 done. total_steps=9944 | reward=-42 | episode_steps=59 | hours=0.025 | epsilon=0.647
2024/08/24 04:25:13 PM > ep 118 done. total_steps=9988 | reward=-57 | episode_steps=44 | hours=0.025 | epsilon=0.646
2024/08/24 04:25:13 PM > ep 119 done. total_steps=10058 | reward=-31 | episode_steps=70 | hours=0.025 | epsilon=0.644
2024/08/24 04:25:14 PM > ep 120 done. total_steps=10174 | reward=15 | episode_steps=116 | hours=0.025 | epsilon=0.641
2024/08/24 04:25:15 PM > ep 121 done. total_steps=10277 | reward=2 | episode_steps=103 | hours=0.025 | epsilon=0.638
2024/08/24 04:25:16 PM > ep 122 done. total_steps=10375 | reward=-3 | episode_steps=98 | hours=0.026 | epsilon=0.636
2024/08/24 04:25:17 PM > ep 123 done. total_steps=10441 | reward=-35 | episode_steps=66 | hours=0.026 | epsilon=0.634
2024/08/24 04:25:18 PM > ep 124 done. total_steps=10530 | reward=-12 | episode_steps=89 | hours=0.026 | epsilon=0.632
2024/08/24 04:25:19 PM > ep 125 done. total_steps=10635 | reward=4 | episode_steps=105 | hours=0.026 | epsilon=0.629
2024/08/24 04:25:20 PM > ep 126 done. total_steps=10753 | reward=17 | episode_steps=118 | hours=0.027 | epsilon=0.626
2024/08/24 04:25:21 PM > ep 127 done. total_steps=10837 | reward=-17 | episode_steps=84 | hours=0.027 | epsilon=0.624
2024/08/24 04:25:21 PM > ep 128 done. total_steps=10900 | reward=-38 | episode_steps=63 | hours=0.027 | epsilon=0.622
2024/08/24 04:25:22 PM > ep 129 done. total_steps=11009 | reward=8 | episode_steps=109 | hours=0.027 | epsilon=0.619
2024/08/24 04:25:23 PM > ep 130 done. total_steps=11080 | reward=-30 | episode_steps=71 | hours=0.028 | epsilon=0.617
2024/08/24 04:25:24 PM > ep 131 done. total_steps=11171 | reward=-10 | episode_steps=91 | hours=0.028 | epsilon=0.615
2024/08/24 04:25:24 PM > ep 132 done. total_steps=11263 | reward=-9 | episode_steps=92 | hours=0.028 | epsilon=0.612
2024/08/24 04:25:25 PM > ep 133 done. total_steps=11343 | reward=-21 | episode_steps=80 | hours=0.028 | epsilon=0.610
2024/08/24 04:25:26 PM > ep 134 done. total_steps=11434 | reward=-10 | episode_steps=91 | hours=0.028 | epsilon=0.608
2024/08/24 04:25:27 PM > ep 135 done. total_steps=11529 | reward=-6 | episode_steps=95 | hours=0.029 | epsilon=0.606
2024/08/24 04:25:28 PM > ep 136 done. total_steps=11616 | reward=-14 | episode_steps=87 | hours=0.029 | epsilon=0.604
2024/08/24 04:25:28 PM > ep 137 done. total_steps=11678 | reward=-39 | episode_steps=62 | hours=0.029 | epsilon=0.602
2024/08/24 04:25:29 PM > ep 138 done. total_steps=11760 | reward=-19 | episode_steps=82 | hours=0.029 | epsilon=0.600
2024/08/24 04:25:30 PM > ep 139 done. total_steps=11876 | reward=15 | episode_steps=116 | hours=0.030 | epsilon=0.597
2024/08/24 04:25:31 PM > ep 140 done. total_steps=11983 | reward=6 | episode_steps=107 | hours=0.030 | epsilon=0.594
2024/08/24 04:25:32 PM > ep 141 done. total_steps=12099 | reward=15 | episode_steps=116 | hours=0.030 | epsilon=0.592
2024/08/24 04:25:33 PM > ep 142 done. total_steps=12185 | reward=-15 | episode_steps=86 | hours=0.030 | epsilon=0.589
2024/08/24 04:25:34 PM > ep 143 done. total_steps=12286 | reward=0 | episode_steps=101 | hours=0.031 | epsilon=0.587
2024/08/24 04:25:35 PM > ep 144 done. total_steps=12390 | reward=3 | episode_steps=104 | hours=0.031 | epsilon=0.584
2024/08/24 04:25:36 PM > ep 145 done. total_steps=12491 | reward=0 | episode_steps=101 | hours=0.031 | epsilon=0.582
2024/08/24 04:25:36 PM > ep 146 done. total_steps=12582 | reward=-10 | episode_steps=91 | hours=0.031 | epsilon=0.580
2024/08/24 04:25:37 PM > ep 147 done. total_steps=12663 | reward=-20 | episode_steps=81 | hours=0.032 | epsilon=0.578
2024/08/24 04:25:38 PM > ep 148 done. total_steps=12741 | reward=-23 | episode_steps=78 | hours=0.032 | epsilon=0.576
2024/08/24 04:25:39 PM > ep 149 done. total_steps=12852 | reward=10 | episode_steps=111 | hours=0.032 | epsilon=0.573
2024/08/24 04:25:40 PM > ep 150 done. total_steps=12942 | reward=-11 | episode_steps=90 | hours=0.032 | epsilon=0.571
2024/08/24 04:25:41 PM > ep 151 done. total_steps=13040 | reward=-3 | episode_steps=98 | hours=0.033 | epsilon=0.569
2024/08/24 04:25:42 PM > ep 152 done. total_steps=13134 | reward=-7 | episode_steps=94 | hours=0.033 | epsilon=0.567
2024/08/24 04:25:42 PM > ep 153 done. total_steps=13226 | reward=-9 | episode_steps=92 | hours=0.033 | epsilon=0.565
2024/08/24 04:25:43 PM > ep 154 done. total_steps=13304 | reward=-23 | episode_steps=78 | hours=0.033 | epsilon=0.563
2024/08/24 04:25:44 PM > ep 155 done. total_steps=13412 | reward=7 | episode_steps=108 | hours=0.033 | epsilon=0.560
2024/08/24 04:25:45 PM > ep 156 done. total_steps=13524 | reward=11 | episode_steps=112 | hours=0.034 | epsilon=0.558
2024/08/24 04:25:46 PM > ep 157 done. total_steps=13663 | reward=38 | episode_steps=139 | hours=0.034 | epsilon=0.555
2024/08/24 04:25:47 PM > ep 158 done. total_steps=13789 | reward=25 | episode_steps=126 | hours=0.034 | epsilon=0.552
2024/08/24 04:25:48 PM > ep 159 done. total_steps=13901 | reward=11 | episode_steps=112 | hours=0.035 | epsilon=0.549
2024/08/24 04:25:49 PM > ep 160 done. total_steps=14008 | reward=6 | episode_steps=107 | hours=0.035 | epsilon=0.547
2024/08/24 04:25:50 PM > ep 161 done. total_steps=14120 | reward=11 | episode_steps=112 | hours=0.035 | epsilon=0.544
2024/08/24 04:25:51 PM > ep 162 done. total_steps=14219 | reward=-2 | episode_steps=99 | hours=0.035 | epsilon=0.542
2024/08/24 04:25:52 PM > ep 163 done. total_steps=14332 | reward=12 | episode_steps=113 | hours=0.036 | epsilon=0.540
2024/08/24 04:25:53 PM > ep 164 done. total_steps=14436 | reward=3 | episode_steps=104 | hours=0.036 | epsilon=0.537
2024/08/24 04:25:54 PM > ep 165 done. total_steps=14535 | reward=-2 | episode_steps=99 | hours=0.036 | epsilon=0.535
2024/08/24 04:25:55 PM > ep 166 done. total_steps=14638 | reward=2 | episode_steps=103 | hours=0.037 | epsilon=0.533
2024/08/24 04:25:56 PM > ep 167 done. total_steps=14742 | reward=3 | episode_steps=104 | hours=0.037 | epsilon=0.531
