2024/08/03 04:27:06 PM > ep 186 done. total_steps=3988 | reward=22.0 | episode_steps=22 | hours=0.017 | epsilon=0.837
2024/08/03 04:27:06 PM > ep 187 done. total_steps=4036 | reward=48.0 | episode_steps=48 | hours=0.017 | epsilon=0.836
2024/08/03 04:27:07 PM > ep 188 done. total_steps=4081 | reward=45.0 | episode_steps=45 | hours=0.017 | epsilon=0.834
2024/08/03 04:27:08 PM > ep 189 done. total_steps=4139 | reward=58.0 | episode_steps=58 | hours=0.018 | epsilon=0.832
2024/08/03 04:27:08 PM > ep 190 done. total_steps=4172 | reward=33.0 | episode_steps=33 | hours=0.018 | epsilon=0.831
2024/08/03 04:27:09 PM > ep 191 done. total_steps=4212 | reward=40.0 | episode_steps=40 | hours=0.018 | epsilon=0.829
2024/08/03 04:27:09 PM > ep 192 done. total_steps=4253 | reward=41.0 | episode_steps=41 | hours=0.018 | epsilon=0.828
2024/08/03 04:27:10 PM > ep 193 done. total_steps=4278 | reward=25.0 | episode_steps=25 | hours=0.018 | epsilon=0.827
2024/08/03 04:27:10 PM > ep 194 done. total_steps=4306 | reward=28.0 | episode_steps=28 | hours=0.018 | epsilon=0.826
2024/08/03 04:27:10 PM > ep 195 done. total_steps=4319 | reward=13.0 | episode_steps=13 | hours=0.018 | epsilon=0.825
2024/08/03 04:27:11 PM > ep 196 done. total_steps=4342 | reward=23.0 | episode_steps=23 | hours=0.018 | epsilon=0.824
2024/08/03 04:27:11 PM > ep 197 done. total_steps=4413 | reward=71.0 | episode_steps=71 | hours=0.019 | epsilon=0.822
2024/08/03 04:27:12 PM > ep 198 done. total_steps=4431 | reward=18.0 | episode_steps=18 | hours=0.019 | epsilon=0.821
2024/08/03 04:27:12 PM > ep 199 done. total_steps=4484 | reward=53.0 | episode_steps=53 | hours=0.019 | epsilon=0.819
2024/08/03 04:27:13 PM > ep 200 done. total_steps=4508 | reward=24.0 | episode_steps=24 | hours=0.019 | epsilon=0.818
2024/08/03 04:27:13 PM > ep 201 done. total_steps=4530 | reward=22.0 | episode_steps=22 | hours=0.019 | epsilon=0.818
2024/08/03 04:27:14 PM > ep 202 done. total_steps=4626 | reward=96.0 | episode_steps=96 | hours=0.019 | epsilon=0.814
2024/08/03 04:27:15 PM > ep 203 done. total_steps=4659 | reward=33.0 | episode_steps=33 | hours=0.019 | epsilon=0.813
2024/08/03 04:27:15 PM > ep 204 done. total_steps=4674 | reward=15.0 | episode_steps=15 | hours=0.020 | epsilon=0.812
2024/08/03 04:27:16 PM > ep 205 done. total_steps=4775 | reward=101.0 | episode_steps=101 | hours=0.020 | epsilon=0.809
2024/08/03 04:27:17 PM > ep 206 done. total_steps=4817 | reward=42.0 | episode_steps=42 | hours=0.020 | epsilon=0.807
2024/08/03 04:27:17 PM > ep 207 done. total_steps=4850 | reward=33.0 | episode_steps=33 | hours=0.020 | epsilon=0.806
2024/08/03 04:27:18 PM > ep 208 done. total_steps=4874 | reward=24.0 | episode_steps=24 | hours=0.020 | epsilon=0.805
2024/08/03 04:27:18 PM > ep 209 done. total_steps=4940 | reward=66.0 | episode_steps=66 | hours=0.020 | epsilon=0.803
2024/08/03 04:27:19 PM > ep 210 done. total_steps=4963 | reward=23.0 | episode_steps=23 | hours=0.021 | epsilon=0.802
2024/08/03 04:27:19 PM > ep 211 done. total_steps=5020 | reward=57.0 | episode_steps=57 | hours=0.021 | epsilon=0.800
2024/08/03 04:27:20 PM > ep 212 done. total_steps=5062 | reward=42.0 | episode_steps=42 | hours=0.021 | epsilon=0.799
